episode_length,episode_return,episodes,steps,steps_per_second
92,41.88788,1,92,116.4665981
92,24.611917,2,184,221.1660735
92,-5.5588703,3,276,221.2934158
92,31.653894,4,368,220.8974111
92,-99.693016,5,460,223.5895384
92,-77.17837,6,552,219.0629992
92,0.03948754,7,644,223.0377026
92,2.9511278,8,736,223.7540651
92,-6.004841,9,828,210.5140091
92,35.03366,10,920,225.1418196
92,-87.66881,11,1012,18.26438393
92,-0.14460555,12,1104,152.1355372
92,-49.827854,13,1196,154.0773621
92,36.26786,14,1288,154.6211598
92,47.93702,15,1380,157.8665165
92,53.90273,16,1472,149.3508958
92,-138.68048,17,1564,158.7008211
92,55.560253,18,1656,154.3619952
92,40.17715,19,1748,152.9944282
92,58.937218,20,1840,153.1979708
92,61.158726,21,1932,160.4409836
92,60.61934,22,2024,149.8235583
92,-4.4059205,23,2116,158.4531187
92,59.255066,24,2208,146.626123
92,-113.78036,25,2300,152.6653888
92,11.105694,26,2392,141.902475
92,49.962475,27,2484,151.317619
92,52.8893,28,2576,155.2196795
92,35.847935,29,2668,157.4646603
92,64.48367,30,2760,152.2383541
92,55.697777,31,2852,157.4762916
92,57.0802,32,2944,150.8609139
92,-145.2492,33,3036,132.5323316
92,-293.53122,34,3128,150.8855716
92,58.810623,35,3220,137.518605
92,62.374996,36,3312,139.026848
92,58.417213,37,3404,124.9979651
92,-310.43817,38,3496,113.0747547
92,-73.24077,39,3588,143.1308202
92,-235.74217,40,3680,141.3964892
92,-37.988773,41,3772,155.9196247
92,58.545517,42,3864,156.5966725
92,-100.98503,43,3956,146.9905694
92,1.3506851,44,4048,136.0683522
92,30.34118,45,4140,155.9298947
92,-135.61832,46,4232,149.3567344
92,60.978558,47,4324,154.9613689
92,-25.373138,48,4416,153.1103161
92,57.935192,49,4508,155.4201128
92,8.654274,50,4600,153.9393077
92,-105.17641,51,4692,141.9621457
92,59.976795,52,4784,150.2245013
92,55.594887,53,4876,145.9704016
92,60.19031,54,4968,148.254859
92,15.986874,55,5060,157.8858945
92,9.310081,56,5152,145.2529618
92,57.094482,57,5244,160.3939011
92,29.806519,58,5336,153.7527809
92,55.28421,59,5428,152.4315785
92,29.737516,60,5520,154.2419859
92,-51.06748,61,5612,158.1584634
92,60.634533,62,5704,152.0619761
92,-195.4797,63,5796,154.2306425
92,-59.44877,64,5888,156.433899
92,-127.82074,65,5980,151.548498
92,59.7838,66,6072,156.7448211
92,35.306995,67,6164,152.2000441
92,58.289467,68,6256,146.3783861
92,56.949646,69,6348,156.7612498
92,22.821726,70,6440,152.5175533
92,58.194252,71,6532,154.3455716
92,-33.44401,72,6624,148.3962546
92,-41.605476,73,6716,156.130146
92,62.902233,74,6808,153.8436876
92,-43.554325,75,6900,156.4153197
92,58.657833,76,6992,150.0692711
92,55.368958,77,7084,156.8142527
92,55.099487,78,7176,152.4572945
92,60.83315,79,7268,155.2653972
92,-62.952873,80,7360,150.9855238
92,35.10627,81,7452,160.1391617
92,-34.4676,82,7544,140.0914837
92,-169.24739,83,7636,156.5681436
92,28.6786,84,7728,144.3147941
92,58.347435,85,7820,149.6005691
92,63.3881,86,7912,154.7925987
92,-22.855915,87,8004,141.4017742
92,57.68237,88,8096,154.6249392
92,52.504486,89,8188,154.3056386
92,-91.34981,90,8280,149.0079169
92,65.94578,91,8372,155.5200222
92,-36.09708,92,8464,152.6844774
92,-137.14305,93,8556,153.1024188
92,-13.569548,94,8648,152.5506556
92,60.00153,95,8740,154.3778665
92,57.478626,96,8832,152.0357344
92,57.147472,97,8924,158.124438
92,56.10483,98,9016,151.6166183
92,-172.96323,99,9108,157.4389618
92,60.639458,100,9200,150.770905
92,-72.63951,101,9292,151.3584544
92,59.71856,102,9384,124.4510278
92,-115.54558,103,9476,154.6951098
92,3.6172695,104,9568,152.7713426
92,54.382416,105,9660,157.2444397
92,62.870087,106,9752,152.3772842
92,56.547623,107,9844,156.2106056
92,-194.14493,108,9936,156.4004848
92,61.45623,109,10028,149.416418
92,54.080975,110,10120,156.6990553
92,56.003513,111,10212,156.4007383
92,-142.21786,112,10304,154.1115759
92,-1.3890352,113,10396,156.7928434
92,57.37025,114,10488,152.954403
92,61.02903,115,10580,151.8692686
